# FC 26 nation ids, extracted from the imported player dataset
nation_id,name
1,Albania
2,Andorra
3,Armenia
4,Austria
5,Azerbaijan
6,Belarus
7,Belgium
8,Bosnia and Herzegovina
9,Bulgaria
10,Croatia
11,Cyprus
12,Czechia
13,Denmark
14,England
15,Montenegro
16,Faroe Islands
17,Finland
18,France
19,North Macedonia
20,Georgia
21,Germany
22,Greece
23,Hungary
24,Iceland
25,Republic of Ireland
26,Israel
27,Italy
28,Latvia
29,Liechtenstein
30,Lithuania
31,Luxembourg
32,Malta
33,Moldova
34,Netherlands
35,Northern Ireland
36,Norway
37,Poland
38,Portugal
39,Romania
40,Russia
42,Scotland
43,Slovakia
44,Slovenia
45,Spain
46,Sweden
47,Switzerland
48,Türkiye
49,Ukraine
50,Wales
51,Serbia
52,Argentina
53,Bolivia
54,Brazil
55,Chile
56,Colombia
57,Ecuador
58,Paraguay
59,Peru
60,Uruguay
61,Venezuela
63,Antigua and Barbuda
66,Barbados
68,Bermuda
70,Canada
72,Costa Rica
73,Cuba
76,El Salvador
77,Grenada
78,Guatemala
79,Guyana
80,Haiti
81,Honduras
82,Jamaica
83,Mexico
84,Montserrat
85,Curacao
87,Panama
88,Puerto Rico
89,Saint Kitts and Nevis
90,Saint Lucia
92,Suriname
93,Trinidad and Tobago
95,United States
97,Algeria
98,Angola
99,Benin
101,Burkina Faso
102,Burundi
103,Cameroon
104,Cabo Verde
105,Central African Republic
106,Chad
107,Congo
108,Côte d'Ivoire
110,Congo DR
111,Egypt
112,Equatorial Guinea
115,Gabon
116,Gambia
117,Ghana
118,Guinea
119,Guinea-Bissau
120,Kenya
122,Liberia
123,Libya
124,Madagascar
125,Malawi
126,Mali
127,Mauritania
129,Morocco
130,Mozambique
131,Namibia
132,Niger
133,Nigeria
134,Rwanda
136,Senegal
138,Sierra Leone
139,Somalia
140,South Africa
143,Tanzania
144,Togo
145,Tunisia
146,Uganda
147,Zambia
148,Zimbabwe
149,Afghanistan
151,Bangladesh
155,China PR
158,Hong Kong
159,India
160,Indonesia
161,Iran
162,Iraq
163,Japan
164,Jordan
167,Korea Republic
171,Lebanon
173,Malaysia
179,Pakistan
180,Palestine
181,Philippines
182,Qatar
183,Saudi Arabia
185,Sri Lanka
186,Syria
187,Tajikistan
188,Thailand
190,United Arab Emirates
191,Uzbekistan
193,Yemen
195,Australia
198,New Zealand
204,Vanuatu
205,Gibraltar
207,Dominican Republic
208,Estonia
213,Chinese Taipei
214,Comoros
215,New Caledonia
219,Kosovo
